"Study Name","405056_0032_20260512_000002 NBeltLineRd-BluffviewDr(24hr)"
"Start Date","05/12/2026"
"Start Time","12:00 AM"
"Site Code",""
"",""
"",""
"",""
"",""

"Lights"
"","Southbound","","","Northbound","","","Eastbound","",""
"","SB N Belt Line Rd","","","NB N Belt Line Rd","","","EB Bluffview Rd","",""
"Start Time","Thru","Right","U-Turn","Left","Thru","U-Turn","Left","Right","U-Turn"
"12:00 AM","23","0","0","0","19","0","0","0","0"
"12:15 AM","21","0","0","1","15","0","0","0","0"
"12:30 AM","25","0","0","0","13","0","0","1","0"
"12:45 AM","20","0","0","0","11","0","0","1","0"
"1:00 AM","16","1","0","0","8","0","0","0","0"
"1:15 AM","10","0","0","0","8","0","0","1","0"
"1:30 AM","6","0","0","0","15","0","0","0","0"
"1:45 AM","9","0","0","0","10","0","0","0","0"
"2:00 AM","5","1","0","0","9","0","0","0","0"
"2:15 AM","13","0","0","0","14","0","0","0","0"
"2:30 AM","10","1","0","0","12","0","2","0","0"
"2:45 AM","8","0","0","0","10","0","0","1","0"
"3:00 AM","7","1","0","0","11","0","1","0","0"
"3:15 AM","13","0","0","0","15","0","0","0","0"
"3:30 AM","10","0","0","0","19","0","0","0","0"
"3:45 AM","25","0","0","0","18","0","1","0","0"
"4:00 AM","15","0","0","0","14","0","0","0","0"
"4:15 AM","43","0","0","0","29","0","0","1","0"
"4:30 AM","60","0","0","0","39","0","3","0","0"
"4:45 AM","54","0","0","1","49","0","0","1","0"
"5:00 AM","44","0","0","0","74","0","1","0","0"
"5:15 AM","76","0","0","0","120","0","3","1","0"
"5:30 AM","104","3","0","0","124","0","4","1","0"
"5:45 AM","116","0","0","0","172","0","6","1","0"
"6:00 AM","104","0","0","1","205","0","1","2","0"
"6:15 AM","121","0","0","1","278","0","5","1","0"
"6:30 AM","200","3","0","0","321","0","4","2","0"
"6:45 AM","193","1","0","0","359","0","6","3","0"
"7:00 AM","190","1","0","1","326","1","9","3","0"
"7:15 AM","255","2","0","3","359","0","7","3","0"
"7:30 AM","272","3","0","0","391","0","2","6","0"
"7:45 AM","302","7","0","0","383","0","6","1","0"
"8:00 AM","253","5","0","3","284","0","3","4","0"
"8:15 AM","237","3","0","1","298","1","4","3","0"
"8:30 AM","226","1","0","3","310","0","5","0","0"
