"Study Name","405061_0030_20260512_000002 NBeltLineRd-SunnyvaleDonutDr"
"Start Date","05/12/2026"
"Start Time","7:00 AM"
"Site Code",""
"",""
"",""
"",""
"",""

"Lights"
"","Southbound","","","Northbound","","","Eastbound","",""
"","SB N Belt Line Rd","","","NB N Belt Line Rd","","","EB Sunnyvale Donut Driveway","",""
"Start Time","Thru","Right","U-Turn","Left","Thru","U-Turn","Left","Right","U-Turn"
"7:00 AM","182","5","0","3","340","0","2","1","0"
"7:15 AM","249","1","0","3","375","0","4","0","0"
"7:30 AM","254","5","0","2","390","0","3","0","0"
"7:45 AM","274","2","0","3","365","0","0","2","0"
"8:00 AM","257","1","0","2","286","0","2","0","0"
"8:15 AM","239","1","0","1","315","0","1","0","0"
"8:30 AM","213","4","0","3","313","0","2","1","0"
"8:45 AM","251","3","0","1","275","0","0","2","0"
"11:00 AM","187","2","0","3","157","0","4","3","0"
"11:15 AM","202","1","1","1","170","0","3","0","0"
"11:30 AM","205","0","0","3","182","2","1","0","0"
"11:45 AM","193","4","0","3","196","0","3","0","0"
"12:00 PM","185","2","0","2","225","1","3","1","0"
"12:15 PM","207","4","0","2","178","1","1","2","0"
"12:30 PM","197","1","1","3","193","0","3","0","0"
"12:45 PM","224","1","0","0","215","0","2","0","0"
"4:00 PM","352","3","0","4","302","1","4","1","0"
"4:15 PM","315","7","0","3","259","0","6","4","0"
"4:30 PM","363","10","0","0","341","1","3","0","0"
"4:45 PM","361","3","0","2","304","2","1","1","0"
"5:00 PM","328","4","0","3","331","2","3","1","0"
"5:15 PM","388","2","0","2","312","0","4","2","0"
"5:30 PM","431","4","0","4","323","5","3","4","0"
"5:45 PM","388","6","0","5","237","3","5","2","0"

"Mediums"
"","Southbound","","","Northbound","","","Eastbound","",""
"","SB N Belt Line Rd","","","NB N Belt Line Rd","","","EB Sunnyvale Donut Driveway","",""
"Start Time","Thru","Right","U-Turn","Left","Thru","U-Turn","Left","Right","U-Turn"
"7:00 AM","1","0","0","0","5","0","0","0","0"
"7:15 AM","1","0","0","0","3","0","0","0","0"
"7:30 AM","2","0","0","0","8","0","0","0","0"
"7:45 AM","7","0","0","0","6","0","0","0","0"
"8:00 AM","7","0","0","0","5","0","0","0","0"
"8:15 AM","3","0","0","0","3","0","0","0","0"
"8:30 AM","3","0","0","0","3","0","0","0","0"
"8:45 AM","2","0","0","1","3","0","1","0","0"
"11:00 AM","7","0","0","0","3","0","0","0","0"
"11:15 AM","1","0","0","0","2","0","0","0","0"
"11:30 AM","2","0","0","0","0","0","0","0","0"
"11:45 AM","6","0","0","0","6","0","0","0","0"
"12:00 PM","1","0","0","0","0","0","0","0","0"
"12:15 PM","4","1","0","0","7","0","0","0","0"
"12:30 PM","2","0","0","0","3","0","0","0","0"
"12:45 PM","5","0","0","0","2","0","0","0","0"
"4:00 PM","5","0","0","0","2","0","0","0","0"
"4:15 PM","5","0","0","0","2","0","0","0","0"
"4:30 PM","4","0","0","0","3","0","0","0","0"
"4:45 PM","4","0","0","0","0","0","0","0","0"
"5:00 PM","4","0","0","0","5","0","0","0","0"
"5:15 PM","4","0","0","0","3","0","0","0","0"
"5:30 PM","2","0","0","0","1","0","0","0","0"
"5:45 PM","5","0","0","0","1","0","0","0","0"

"Articulated Trucks"
"","Southbound","","","Northbound","","","Eastbound","",""
"","SB N Belt Line Rd","","","NB N Belt Line Rd","","","EB Sunnyvale Donut Driveway","",""
"Start Time","Thru","Right","U-Turn","Left","Thru","U-Turn","Left","Right","U-Turn"
"7:00 AM","2","0","0","0","2","0","0","0","0"
"7:15 AM","1","0","0","0","3","0","0","0","0"
"7:30 AM","2","0","0","0","1","0","0","0","0"
"7:45 AM","2","0","0","0","5","0","0","0","0"
"8:00 AM","3","0","0","1","0","0","0","0","0"
"8:15 AM","0","0","0","0","2","0","0","0","0"
"8:30 AM","2","0","0","0","2","0","0","0","0"
"8:45 AM","0","0","0","0","3","0","0","0","0"
"11:00 AM","1","0","0","0","1","0","0","0","0"
"11:15 AM","1","0","0","0","3","0","0","0","0"
"11:30 AM","0","0","0","0","0","0","0","0","0"
"11:45 AM","1","0","0","0","0","0","0","0","0"
"12:00 PM","3","0","0","0","0","0","0","0","0"
"12:15 PM","3","0","0","0","0","0","0","0","0"
"12:30 PM","3","0","0","0","1","0","0","0","0"
"12:45 PM","0","0","0","0","2","0","0","0","0"
"4:00 PM","0","0","0","0","1","0","0","0","0"
"4:15 PM","1","0","0","0","2","0","0","0","0"
"4:30 PM","2","0","0","0","3","0","0","0","0"
"4:45 PM","5","0","0","0","1","0","0","0","0"
"5:00 PM","2","0","0","0","5","0","0","0","0"
"5:15 PM","4","0","0","0","0","0","0","0","0"
"5:30 PM","3","0","0","0","1","0","0","0","0"
"5:45 PM","5","0","0","0","0","0","0","0","0"
