A. distinct TRACKS crossing X rightward, per bin  (Mio NB_thru per bin on the last row)
   X   b0    b1    b2    b3    b4    b5    b6    b7     total  med_box_px
   200   235   222   273   247   247   229   242   183   1878   107.3
   250   238   215   271   249   251   237   255   188   1904   105.7
   300   239   208   277   249   250   245   256   185   1909   106.6
   350   238   217   283   251   257   243   258   192   1939    97.9
   400   238   227   288   251   257   245   262   189   1957    90.7
   450   245   236   303   256   263   251   267   191   2012    79.0
   500   267   266   339   267   282   261   285   200   2167    65.4
   550   296   282   365   284   312   288   295   217   2339    46.5

B. counting FATE of tracks crossing X rightward (top 8 fates per X)
